,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,"Earphones, JKSWT Wired Earbuds with Microphone and Volume Control, High Definition,Powerful Bass Sound, in-Ear Headphones Compatible with 3.5mm Headphones Devices",,,"[{'info': 'Package Dimensions', 'value': '4.41 x 2.72 x 0.71 inches'}, {'info': 'Item Weight', 'value': '0.704 ounces'}, {'info': 'ASIN', 'value': 'B0919BBRB2'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.6 out of 5 stars 1,058 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.6 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#586 in Earbud & In-Ear Headphones'}, {'info': 'Date First Available', 'value': 'March 29, 2021'}, {'info': 'Manufacturer', 'value': 'JKSWT'}]",QCT INC,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AIK33P9Z4D533&isAmazonFulfilled=1,,,/JKSWT-Microphone-Definition-Headphones-Compatible/product-reviews/B0919BBRB2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,"ULIX Rider Earphones in-Ear Headphones with Mic, 3 Years Warranty, with Anti-Tangle, Braided Cable, Microphone, Super Resistant, 48 Ω Driver, Intense Bass, Earbuds for Samsung, Computer, Laptop",,,"[{'info': 'Package Dimensions', 'value': '5.28 x 3.98 x 0.63 inches'}, {'info': 'Item Weight', 'value': '1.76 ounces'}, {'info': 'ASIN', 'value': 'B092MKW5CR'}, {'info': 'Item model number', 'value': 'RIDER'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.8 out of 5 stars 258 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.8 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#170 in Earbud & In-Ear Headphones'}, {'info': 'Date First Available', 'value': 'April 16, 2021'}, {'info': 'Manufacturer', 'value': 'ULIX'}]",AUDIO FORMULA USA,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2KDHKBXK17AW9&isAmazonFulfilled=1,,,/Earphones-Headphones-Anti-Tangle-Microphone-Resistant/product-reviews/B092MKW5CR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
48,,,,,,,,,
49,,,,,,,,,
50,ELEHOT Bluetooth Headphones Over-Ear Wireless Audio 5.0 Studio Foldable Headphone with Touch Control and Built-in Microphone 1000mAh,,,"[{'info': 'Product Dimensions', 'value': '7.76 x 7.28 x 3.62 inches'}, {'info': 'Item Weight', 'value': '1.01 pounds'}, {'info': 'ASIN', 'value': 'B08S3RJZ6J'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.5 out of 5 stars 56 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.5 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#488 in Over-Ear Headphones'}, {'info': 'Date First Available', 'value': 'January 5, 2021'}, {'info': 'Manufacturer', 'value': 'ELEHOT Direct'}]",Ymingus,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3D3P3RQ2GI8ZT&isAmazonFulfilled=1,,,/ELEHOT-Bluetooth-Headphones-Headphone-Microphone/product-reviews/B08S3RJZ6J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
51,,,,,,,,,
52,,,,,,,,,
