,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
65,"Earbuds with Microphone, Vogek Earphones Noise Isolating, in-Ear Headphones with HiFi Stereo & Powerful Bass 3.5mm Interface Compatible with iPhone and Android Smartphones, iPad, iPod, MP3 Players",,,"[{'info': 'Product Dimensions', 'value': '3.9 x 2.8 x 0.7 inches'}, {'info': 'Item Weight', 'value': '0.88 ounces'}, {'info': 'Manufacturer', 'value': 'VOGEK'}, {'info': 'ASIN', 'value': 'B08L8R4VVL'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 3.9 out of 5 stars 4 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 3.9 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#3,965 in Earbud & In-Ear Headphones'}, {'info': 'Date First Available', 'value': 'October 16, 2020'}]",,,,,/Microphone-Earphones-Headphones-Compatible-Smartphones/product-reviews/B08L8R4VVL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
66,"Bluetooth Headphones, OneOdio A11 Wireless Over Ear Headphones with Bass Up EQ Mode HiFi Stereo Sound CVC8.0 Microphone Headphones Compatible for Travel, Home Office Foldable Comfortable",,,"[{'info': 'Product Dimensions', 'value': '7.87 x 7.87 x 2.76 inches'}, {'info': 'Item Weight', 'value': '14.9 ounces'}, {'info': 'ASIN', 'value': 'B085M31H37'}, {'info': 'Item model number', 'value': 'A11'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.3 out of 5 stars 368 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.3 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#355 in Over-Ear Headphones'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'January 22, 2021'}, {'info': 'Manufacturer', 'value': 'OneOdio'}]",DIRONE,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3RJJJRIEAYNLE&isAmazonFulfilled=1,,,/Bluetooth-Headphones-Microphone-Compatible-Comfortable/product-reviews/B085M31H37/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,"225 TWS Auriculares intraaurales realmente inalámbricos, con Bluetooth, Sonido Pure Bass y modo Dual Connect, hasta 25 hrs de música con estuche de carga, negro-Azul",,,"[{'info': 'Product Dimensions', 'value': '1.73 x 3.94 x 6.3 inches'}, {'info': 'Item Weight', 'value': '2.01 ounces'}, {'info': 'ASIN', 'value': 'B08CNMCJ2P'}, {'info': 'Item model number', 'value': 'CA08626'}, {'info': 'Batteries', 'value': '1 Lithium Polymer batteries required.'}, {'info': 'Date First Available', 'value': 'May 27, 2021'}, {'info': 'Manufacturer', 'value': 'Chebran'}]",,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
